game_date,game_month,game_pk,inning,pitcher_name,p_throws,batter_name,stand,at_bat_number,pitch_number,pitch_name,effective_speed,release_spin_rate,release_extension,type,events,description,des,zone,bb_type,launch_speed_angle,hit_location,launch_speed,launch_angle,hit_distance_sc,pfx_x,pfx_z,plate_x,plate_z,release_pos_x,release_pos_z,effective_speed_kh,release_extension_cm,pfx_x_cm,pfx_z_cm,plate_x_cm,plate_z_cm,release_pos_x_cm,release_pos_z_cm,launch_speed_angle_category,launch_speed_kh,hit_distance_sc_m,hc_x,hc_y,hc_x_0,hc_y_0,hc_x_ft,hc_y_ft,hc_x_0_ft,hc_y_0_ft,hc_x_m,hc_y_m,hc_x_0_m,hc_y_0_m,events_summary
2022-09-17,9,663426,1,"Ohtani, Shohei",R,"Crawford, J.P.",L,1,1,Cutter,91.7,2350,6.8,S,,called_strike,"J.P. Crawford grounds out, shortstop Luis Rengifo to first baseman Mike Ford.",8,,,,,,,0.25,0.65,-0.14,1.61,-2.43,5.86,146.72,207.26,7.62,19.81,-4.27,49.07,-74.07,178.61,Unknown,,,,,,,,,,,,,,,other
2022-09-17,9,663426,1,"Ohtani, Shohei",R,"Crawford, J.P.",L,1,2,Cutter,94,2329,6.7,B,,ball,"J.P. Crawford grounds out, shortstop Luis Rengifo to first baseman Mike Ford.",11,,,,,,,0.11,0.76,-0.72,3.45,-2.34,5.87,150.4,204.22,3.35,23.16,-21.95,105.16,-71.32,178.92,Unknown,,,,,,,,,,,,,,,other
2022-09-17,9,663426,1,"Ohtani, Shohei",R,"Crawford, J.P.",L,1,3,Slider,87.5,2473,6.7,S,,foul,"J.P. Crawford grounds out, shortstop Luis Rengifo to first baseman Mike Ford.",11,,,,,,,0.74,0.91,-0.45,3.42,-2.38,5.84,140,204.22,22.56,27.74,-13.72,104.24,-72.54,178,Unknown,,,,,,,,,,,,,,,other
2022-09-17,9,663426,1,"Ohtani, Shohei",R,"Crawford, J.P.",L,1,4,Slider,87.5,2485,6.7,S,,foul,"J.P. Crawford grounds out, shortstop Luis Rengifo to first baseman Mike Ford.",13,,,,78.4,-37,2,0.51,-0.4,-0.53,1.32,-1.84,6.29,140,204.22,15.54,-12.19,-16.15,40.23,-56.08,191.72,Unknown,125.44,0.61,,,,,,,,,,,,,other
2022-09-17,9,663426,1,"Ohtani, Shohei",R,"Crawford, J.P.",L,1,5,4-Seam Fastball,99.3,2365,6.8,S,,foul,"J.P. Crawford grounds out, shortstop Luis Rengifo to first baseman Mike Ford.",1,,,,99.4,-11,15,-0.23,1.22,-0.55,3.18,-2.05,6.01,158.88,207.26,-7.01,37.19,-16.76,96.93,-62.48,183.18,Unknown,159.04,4.57,,,,,,,,,,,,,other
2022-09-17,9,663426,1,"Ohtani, Shohei",R,"Crawford, J.P.",L,1,6,Split-Finger,91.1,1309,6.9,B,,ball,"J.P. Crawford grounds out, shortstop Luis Rengifo to first baseman Mike Ford.",14,,,,,,,-0.92,0.03,0.2,0.47,-1.83,6.13,145.76,210.31,-28.04,0.91,6.1,14.33,-55.78,186.84,Unknown,,,,,,,,,,,,,,,other
2022-09-17,9,663426,1,"Ohtani, Shohei",R,"Crawford, J.P.",L,1,7,Cutter,91.1,2532,6.8,B,,ball,"J.P. Crawford grounds out, shortstop Luis Rengifo to first baseman Mike Ford.",13,,,,,,,0.04,0.26,-1.09,1.63,-2.1,6.13,145.76,207.26,1.22,7.92,-33.22,49.68,-64.01,186.84,Unknown,,,,,,,,,,,,,,,other
2022-09-17,9,663426,1,"Ohtani, Shohei",R,"Crawford, J.P.",L,1,8,4-Seam Fastball,98.6,2238,6.8,X,field_out,hit_into_play,"J.P. Crawford grounds out, shortstop Luis Rengifo to first baseman Mike Ford.",4,ground_ball,2,,90.5,-15,9,-0.3,1.13,-0.62,2.48,-2.21,5.86,157.76,207.26,-9.14,34.44,-18.9,75.59,-67.36,178.61,Topped,144.8,2.74,104.56,149.6,-20.86,48.67,261.4,374,-52.15,121.68,79.67,114,-15.9,37.09,other
2022-09-17,9,663426,1,"Ohtani, Shohei",R,"France, Ty",R,2,1,Sinker,97.5,1817,7,B,,ball,Ty France strikes out swinging.,13,,,,,,,-1.39,0.57,-0.28,0.74,-2.19,5.82,156,213.36,-42.37,17.37,-8.53,22.56,-66.75,177.39,Unknown,,,,,,,,,,,,,,,other
2022-09-17,9,663426,1,"Ohtani, Shohei",R,"France, Ty",R,2,2,Slider,87.2,2401,6.8,S,,called_strike,Ty France strikes out swinging.,6,,,,,,,1.07,0.56,0.53,2.36,-2.3,5.8,139.52,207.26,32.61,17.07,16.15,71.93,-70.1,176.78,Unknown,,,,,,,,,,,,,,,other
